date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:16	59837/59837	---MCZ	200	added ('OK')	text/html	etag:%221097-1757355411;gz%22	https://ctwebdevelopment.com/	C:/My%20Web%20Sites/ctwebdev/ctwebdevelopment.com/index.html	(from )
14:31:16	73/73	---M--	200	added ('OK')	text/plain	date:Fri,%2003%20Nov%202017%2015:48:14%20GMT	https://ctwebdevelopment.com/robots.txt		(from )
14:31:16	1516/1516	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202017%2019:57:19%20GMT	https://ctwebdevelopment.com/wp-content/uploads/2017/05/favicon.png	C:/My%20Web%20Sites/ctwebdev/ctwebdevelopment.com/wp-content/uploads/2017/05/favicon.png	(from https://ctwebdevelopment.com/)
14:31:16	1242/1242	---M--	403	error ('Forbidden')	text/html	date:Wed,%2010%20Sep%202025%2018:31:16%20GMT	https://ctwebdevelopment.com/xmlrpc.php	C:/My%20Web%20Sites/ctwebdev/ctwebdevelopment.com/xmlrpc.php	(from https://ctwebdevelopment.com/)
14:31:17	1/1	---M-Z	400	error ('Bad%20Request')	text/html	date:Wed,%2010%20Sep%202025%2018:31:17%20GMT	https://ctwebdevelopment.com/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/ctwebdev/ctwebdevelopment.com/wp-admin/admin-ajax.php	(from https://ctwebdevelopment.com/)
14:31:17	116345/116345	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2018:13:18%20GMT	https://ctwebdevelopment.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	C:/My%20Web%20Sites/ctwebdev/ctwebdevelopment.com/wp-includes/css/dist/block-library/style.min6c2d.css	(from https://ctwebdevelopment.com/)
14:31:17	2947/2947	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2018:13:50%20GMT	https://ctwebdevelopment.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.1	C:/My%20Web%20Sites/ctwebdev/ctwebdevelopment.com/wp-content/plugins/contact-form-7/includes/css/styles6a4d.css	(from https://ctwebdevelopment.com/)
14:31:17	19727/19727	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2018:13:56%20GMT	https://ctwebdevelopment.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=10.1.2	C:/My%20Web%20Sites/ctwebdev/ctwebdevelopment.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout523e.css	(from https://ctwebdevelopment.com/)
14:31:17	7527/7527	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2018:13:56%20GMT	https://ctwebdevelopment.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=10.1.2	C:/My%20Web%20Sites/ctwebdev/ctwebdevelopment.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen523e.css	(from https://ctwebdevelopment.com/)
14:31:18	85792/85792	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2018:13:56%20GMT	https://ctwebdevelopment.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=10.1.2	C:/My%20Web%20Sites/ctwebdev/ctwebdevelopment.com/wp-content/plugins/woocommerce/assets/css/woocommerce523e.css	(from https://ctwebdevelopment.com/)
14:31:18	2105/2105	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2018:14:02%20GMT	https://ctwebdevelopment.com/wp-content/plugins/yith-woocommerce-request-a-quote/assets/css/frontend.css?ver=2.43.0	C:/My%20Web%20Sites/ctwebdev/ctwebdevelopment.com/wp-content/plugins/yith-woocommerce-request-a-quote/assets/css/frontend2322.css	(from https://ctwebdevelopment.com/)
14:31:18	861/861	---M-Z	200	added ('OK')	application/rss+xml	etag:%227f8af3f9090f04dc161688007acfe4ba%22	https://ctwebdevelopment.com/feed/	C:/My%20Web%20Sites/ctwebdev/ctwebdevelopment.com/feed/index.html	(from https://ctwebdevelopment.com/)
14:31:18	2279/2279	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2018:13:56%20GMT	https://ctwebdevelopment.com/wp-content/plugins/woocommerce/assets/css/brands.css?ver=10.1.2	C:/My%20Web%20Sites/ctwebdev/ctwebdevelopment.com/wp-content/plugins/woocommerce/assets/css/brands523e.css	(from https://ctwebdevelopment.com/)
